iter	MultiClass
0	2.251555842
1	2.176793405
2	2.1420663
3	2.095208511
4	2.03184348
5	1.983381502
6	1.917149499
7	1.875222178
8	1.830036714
9	1.797158574
10	1.78203638
11	1.762789209
12	1.740029114
13	1.712363616
14	1.677002702
15	1.651712581
16	1.599154706
17	1.571058539
18	1.541610347
19	1.525170278
20	1.510093772
21	1.492035371
22	1.471705418
23	1.449198327
24	1.428175961
25	1.411219915
26	1.393630313
27	1.385193807
28	1.368657742
29	1.336102448
30	1.325153791
31	1.313620595
32	1.299065222
33	1.286098438
34	1.2708774
35	1.257693224
36	1.250236306
37	1.241746872
38	1.233868934
39	1.208035111
40	1.184990523
41	1.173546679
42	1.153958906
43	1.143437005
44	1.119252065
45	1.097612272
46	1.086493776
47	1.079351365
48	1.071610378
49	1.06313208
50	1.052877562
51	1.045563757
52	1.035197447
53	1.028015338
54	1.018379433
55	1.011804601
56	1.006037272
57	0.9886911888
58	0.9730607068
59	0.9673903797
60	0.9595807294
61	0.9491542555
62	0.9326824906
63	0.9243850122
64	0.9178325661
65	0.9119378865
66	0.9047465617
67	0.8954594298
68	0.8881291188
69	0.8808101655
70	0.8769971768
71	0.8631734245
72	0.8550607411
73	0.8425779758
74	0.8372731614
75	0.8309131427
76	0.8222220521
77	0.8172054702
78	0.8126292097
79	0.8064450078
80	0.801169968
81	0.7893810691
82	0.7820698108
83	0.7713805087
84	0.7644921887
85	0.7583827102
86	0.7476709508
87	0.7413247858
88	0.736462814
89	0.7302292131
90	0.7237702163
91	0.7160473525
92	0.7115021687
93	0.7072005402
94	0.7027875995
95	0.6975570305
96	0.6926155038
97	0.6895129889
98	0.6802896005
99	0.6756544112
