iter	Passed	Remaining
0	1	102
1	1	93
2	2	89
3	3	83
4	4	81
5	5	78
6	5	79
7	6	78
8	7	77
9	9	82
10	9	80
11	10	77
12	11	74
13	11	71
14	12	69
15	12	66
16	13	64
17	13	62
18	14	60
19	14	58
20	15	56
21	15	55
22	16	53
23	16	52
24	17	51
25	17	50
26	18	49
27	18	48
28	19	47
29	19	45
30	20	45
31	20	44
32	21	43
33	22	42
34	22	42
35	23	41
36	23	40
37	24	39
38	24	38
39	25	38
40	25	37
41	26	36
42	26	35
43	27	34
44	27	34
45	28	33
46	28	32
47	29	31
48	29	30
49	30	30
50	30	29
51	31	28
52	31	28
53	32	27
54	32	26
55	32	25
56	33	25
57	33	24
58	34	23
59	34	23
60	35	22
61	35	22
62	36	21
63	36	20
64	37	20
65	37	19
66	38	18
67	38	18
68	38	17
69	39	16
70	39	16
71	40	15
72	40	14
73	40	14
74	41	13
75	41	13
76	42	12
77	42	11
78	42	11
79	43	10
80	43	10
81	44	9
82	44	9
83	45	8
84	45	8
85	46	7
86	46	6
87	46	6
88	47	5
89	47	5
90	48	4
91	48	4
92	49	3
93	49	3
94	49	2
95	50	2
96	50	1
97	50	1
98	51	0
99	51	0
